Name,A Red,A Green,A Blue,B Red,B Green,B Blue,Choice,Is Correct
Nux,141,164,212,127,211,230,a,true
Nux,221,107,241,201,87,252,a,true
Nux,216,194,82,171,154,85,b,false
Nux,156,189,225,157,150,236,b,true
Nux,132,234,171,136,197,131,b,true
Nux,114,123,131,163,103,94,b,true
Nux,172,245,90,141,252,59,a,true
Nux,204,239,173,204,197,199,b,true
Nux,246,116,97,220,128,110,a,false
Nux,180,81,156,151,109,200,b,true
Nux,235,102,106,204,121,106,b,false
Nux,65,138,116,88,93,127,b,true
Nux,145,56,228,164,48,252,b,false
Nux,169,240,63,168,223,15,a,false
Nux,158,29,43,176,39,60,a,true
Nux,11,1,201,58,50,232,a,true
Nux,226,41,91,201,4,125,a,true
Nux,242,101,119,225,69,143,b,true
Nux,199,43,39,240,16,28,a,true
Nux,239,16,243,206,43,208,a,false
Nux,28,21,173,39,29,212,b,true
Nux,159,18,101,142,11,127,a,false
Nux,2,132,99,20,160,66,a,true
Nux,8,11,238,33,23,219,a,true
Nux,211,1,97,248,0,112,a,false
Nux,100,244,229,142,200,219,a,true
Nux,123,9,100,172,58,74,b,true
Nux,169,9,209,187,44,229,b,true
Nux,217,81,35,216,111,16,b,true
Nux,226,5,176,184,52,196,b,true
Nux,211,228,185,252,226,195,a,true
Nux,157,236,3,140,236,47,b,true
Nux,220,90,119,178,95,71,a,true
Nux,12,99,153,47,105,105,b,true
Nux,161,156,105,171,179,115,b,true
Nux,174,81,81,176,119,117,b,true
Nux,230,157,148,246,194,115,b,true
Nux,219,190,96,170,146,100,b,true
Nux,127,26,159,93,8,166,b,true
Nux,80,116,3,124,96,20,a,true
Nux,136,193,64,183,156,63,a,true
Nux,216,80,61,168,83,74,a,true
Nux,166,217,213,137,235,210,a,true
Nux,195,3,27,190,34,31,b,true
Nux,151,243,246,126,239,210,b,true
Nux,141,242,45,168,204,41,b,true
Nux,13,178,168,44,136,143,a,true
Nux,40,12,213,78,50,208,a,true
Nux,5,206,127,37,171,115,a,true
Nux,185,248,45,145,201,8,a,true
Nux,46,84,182,81,114,141,b,true
Nux,223,15,245,244,24,204,b,false
Nux,202,241,147,241,224,99,b,true
Nux,77,66,109,108,93,86,a,true
Nux,52,138,162,69,94,137,b,true
Nux,44,47,235,83,11,191,b,true
Nux,156,177,12,109,204,45,a,true
Nux,215,167,72,225,125,44,b,true
Nux,40,128,116,12,108,93,a,true
Nux,110,140,45,74,182,51,a,true
Nux,190,95,64,222,120,77,a,true
Nux,28,86,195,47,76,237,a,false
Nux,196,130,108,196,133,145,a,true
